7:8494,5339,4769,4231,3530,3514,3138,2957,2952,2872
18:168,73,67,60,56,56,46,44,42,42
19:1
36:4718,4399,3035,2759,2461,2447,2410,2315,2302,2288
37:5004,4080,3767,3585,3373,3293,3160,2996,2967,2927
41:6783,5730,5321,5046,4663,4574,4401,3932,3900,3263
42:3846,3749,3260,2699,2553,2540,2356,2180,2164,1944
43:1095,822,602,528,475,442,434,389,384,383
44:18653,13832,13409,12501,11931,9189,8811,8105,8047,7438
45:83,61,44,32,23,22,22,19,19,18
46:15126,9457,9038,7631,7610,7069,6716,6687,6148,5468
59:12676,8401,6741,6542,6384,6337,5967,5619,4485,4357
60:9226,6048,5406,4246,4152,3353,3343,3199,3192,2952
